,question,answer,question_id
0,新三板挂牌股票被做出终止挂牌决定后，什么时候生效,全国股转公司作出同意挂牌公司股票终止挂牌申请决定后的第三个转让日，挂牌公司股票终止挂牌。,0
1,新三板挂牌股票被做出终止挂牌决定后，在信息披露方面有哪些要求,挂牌公司应当在全国股转公司作出终止挂牌决定后的两个转让日内发布股票终止挂牌风险提示公告，公告应当包括以下内容：（一）终止挂牌生效日期；（二）终止挂牌决定的主要内容；（三）终止挂牌后相关安排、异议股东保护措施落实情况；（四）终止挂牌后其股票登记、转让、管理事宜；（五）终止挂牌后公司的联系人、联系方式；（六）全国股转公司要求的其他内容。,1
2,新三板挂牌股票的哪些情形会导致终止挂牌,挂牌公司出现下列情形之一的，全国股份转让系统公司终止其股票挂牌：（一）中国证监会核准其公开发行股票并在证券交易所上市，或证券交易所同意其股票上市；（二）终止挂牌申请获得全国股份转让系统公司同意；（三）未在规定期限内披露年度报告或者半年度报告的，自期满之日起两个月内仍未披露年度报告或半年度报告；（四）主办券商与挂牌公司解除持续督导协议，挂牌公司未能在股票暂停转让之日起三个月内与其他主办券商签署持续督导协议的；（五）挂牌公司经清算组或管理人清算并注销公司登记的；（六）全国股份转让系统公司规定的其他情形。对因本业务规则第（三）、（四）项情形终止挂牌的公司，全国股份转让系统公司可以为其提供股票非公开转让服务。,2
3,新三板挂牌股票被做出暂停转让决定后，在信息披露方面有哪些要求,新三板挂牌股票被做出暂停转让决定的，挂牌公司应在T-1日20点前披露股票暂停转让公告。此后，应当至少每10个转让日披露一次未能复牌的原因和相关事件的进展情况。,3
4,新三板挂牌股票的哪些情形会导致暂停转让,挂牌公司发生下列事项，应当向全国股份转让系统公司申请暂停转让，直至按规定披露或相关情形消除后恢复转让：（一）预计应披露的重大信息在披露前已难以保密或已经泄露，或公共媒体出现与公司有关传闻，可能或已经对股票转让价格产生较大影响的；（二）涉及需要向有关部门进行政策咨询、方案论证的无先例或存在重大不确定性的重大事项，或挂牌公司有合理由需要 申请暂停股票转让的其他事项；（三）向中国证监会申请公开发行股票并在证券交易所上市， 或向证券交易所申请股票上市；（四）向全国股份转让系统公司主动申请终止挂牌；（五）未在规定期限内披露年度报告或者半年度报告；（六）主办券商与挂牌公司解除持续督导协议；（七）出现依《公司法》第一百八十条规定解散的情形，或法院依受理公司重整、和解者破产清算申请。挂牌公司未按规定向全国股份转让系统申请暂停票转让的，主办券商应当及时向全国股份系统公司报告并提出处理建议。,4
5,若客户通过股权激励、定向增资等方式获得了新三板股票，但客户不符合新三板开通条件，客户应该怎么办,若客户通过股权激励、定向增资等方式获得了新三板股票，但客户不符合新三板开通条件时，客户可以向营业部申请开通受限的新三板交易权限。一般需要携带身份证与挂牌公司提供持股证明到开户营业部办理开通，具体咨询开户营业部。（该权限在柜台系统中显示为“代理业务”项内，有“受限投资者交易协议”）,5
6,新三板委托成交后，股份或资金什么时候能够到账,新三板业务股份过户和资金交收采用逐笔结算的方式办理，股份和资金T+1日下午4:00后到账。,6
7,为什么新三板挂牌股票已上市，派发的股票却不在账户里,新三板挂牌股票已上市，派发的股票却不在账户里，可能是因为：1、客户是新三板受限交易权限的客户（通过股权激励、定向增资或持有原始股新三板股票的客户），还没有开通受限的新三板权限；2、登记公司未派发股份；若排除以上两种情况，可致电咨询。,7
8,新三板股票可否办理转托管如何办理转托管,"投资者若在我司满足开通条件，就可以将新三板股票转托管过来。需要投资者携带有效身份证件在交易时间内临柜办理。我司股份转让与报价转让业务专用交易单元为：724800。（从其他券商转托管过来，转入券商席位号处填写724800）
对于存量客户办理三板的转托管，需要柜员为客户开通账户合并协议维护，可以请客户联系营业部说明事项。",8
9,三板（股份转让）市场股票如何投票,三板（股份转让）市场股票投票应按照以下步骤操作：第一步：去中国登记结算有限公司进行网上注册，取得用户名，电子证书；第二步：本人携带身份证去营业部柜台办理身份验证，激活用户名，电子证书；第三步：进入中国登记结算公司右上角“登录”输入用户名，密码登录，根据公司公告投票。,9
10,客户开通了受限三板权限的情况下交易股票，提示：客户代理协议不存在，是什么原因,客户开通了受限三板权限的情况下交易股票，提示：客户代理协议不存在有可能是客户持有的股份不是属于“公司挂牌前股东、通过定向发行持有公司股份的股东”的情况，所以客户需要开通“挂牌公司合格投资者”方可交易此股票。,10
11,怎么查询新三板股票的定价行情,新三板股票定价行情的查询方法：您可以使用PC安翼金融终端，点击“交易”进行登录，在“股票”一栏下有一个“中小企业股份转让”的菜单，点开之后点击最后一个“定价行情查询”，在右侧输入需查询的股票代码即可任意查询到新三板股票的定价行情。,11
12,新三板协议转让方式支持隔日委托吗,新三板协议转让方式不支持隔日委托。,12
